tempo_s,distancia_cm,altura_cm,velocidade_teorica_cm_s
98.50,12.62,1.38,51.99
99.00,12.62,1.38,51.99
99.50,12.64,1.36,51.66
100.00,12.23,1.77,58.96
100.50,12.23,1.77,58.96
101.00,12.23,1.77,58.96
101.50,12.23,1.77,58.96
102.00,12.23,1.77,58.96
102.50,12.21,1.79,59.25
103.00,12.23,1.77,58.96
103.50,12.23,1.77,58.96
104.00,12.23,1.77,58.96
104.50,12.26,1.74,58.39
105.00,12.28,1.72,58.10
105.50,12.28,1.72,58.10
106.00,12.28,1.72,58.10
106.50,12.26,1.74,58.39
107.00,12.28,1.72,58.10
107.50,12.28,1.72,58.10
108.00,12.23,1.77,58.96
108.50,12.26,1.74,58.39
109.00,12.23,1.77,58.96
109.50,12.28,1.72,58.10
110.00,12.33,1.67,57.23
110.50,12.33,1.67,57.23
111.00,12.73,1.27,50.01
111.50,12.73,1.27,50.01
112.00,12.73,1.27,50.01
112.50,12.73,1.27,50.01
113.00,12.78,1.22,48.99
113.50,12.73,1.27,50.01
114.00,12.78,1.22,48.99
114.50,12.78,1.22,48.99
115.00,12.38,1.62,56.34
115.50,12.78,1.22,48.99
116.00,13.14,0.86,41.15
116.50,11.87,2.13,64.68
117.00,12.28,1.72,58.10
117.50,12.93,1.07,45.80
118.00,11.88,2.12,64.42
118.50,13.17,0.83,40.33
119.00,12.28,1.72,58.10
119.50,12.30,1.70,57.81
120.00,12.67,1.33,51.01
120.50,13.07,0.93,42.76
